RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,CAP TOWN,01,364
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,DURBAN,01,354
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,JOHANESBOURG,01,446
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,JOHANESBOURG,02,445
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,JOHANESBOURG,03,445
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,PORT ELISABETH,01,309
AFRIQUE DU SUD,AFRIQUE DU SUD,CAP TOWN,PRETORIA,01,133
AFRIQUE DU SUD,MOZAMBIQUE,BEIRA,BEIRA,01,76
AFRIQUE DU SUD,MOZAMBIQUE,BEIRA,MAPUTO,01,107
AFRIQUE DU SUD,MOZAMBIQUE,BEIRA,NAPULA,01,142
AFRIQUE DU SUD,MOZAMBIQUE,BEIRA,PEMBA,01,169
ALLEMAGNE,ALLEMAGNE,BERLIN,BERLIN,01,329
ALLEMAGNE,ALLEMAGNE,BERLIN,DUSSELDORF,01,222
ALLEMAGNE,ALLEMAGNE,BERLIN,FRANCFORT,01,120
ALLEMAGNE,ALLEMAGNE,BERLIN,HAMBOURG,01,187
ALLEMAGNE,ALLEMAGNE,BERLIN,MUNICH,01,547
ALLEMAGNE,ALLEMAGNE,BERLIN,STUTTGART,01,84
ARABIE SAOUDITE,ARABIE SAOUDITE,DJEDDAH,DJEDDAH,01,415
ARABIE SAOUDITE,ARABIE SAOUDITE,DJEDDAH,DJEDDAH,02,416
ARABIE SAOUDITE,ARABIE SAOUDITE,DJEDDAH,DJEDDAH,03,413
ARABIE SAOUDITE,ARABIE SAOUDITE,DJEDDAH,RIYAD,01,477
ARABIE SAOUDITE,ARABIE SAOUDITE,DJEDDAH,RIYAD,02,478
BELGIQUE,BELGIQUE,ANVERS,ANVERS,01,597
BELGIQUE,BELGIQUE,ANVERS,ANVERS,02,6
BELGIQUE,BELGIQUE,ANVERS,BRUXELLES,01,590
BELGIQUE,BELGIQUE,ANVERS,BRUXELLES,02,588
BELGIQUE,BELGIQUE,ANVERS,BRUXELLES,03,581
BELGIQUE,BELGIQUE,ANVERS,BRUXELLES,04,407
BELGIQUE,LUXEMBOURG,LUXEMBOURG,LUXEMBOURG VILLE,01,384
BRESIL,ARGENTINE,BUENOS AIRES,BUENOS AIRES,01,494
BRESIL,ARGENTINE,BUENOS AIRES,BUENOS AIRES,02,498
BRESIL,ARGENTINE,BUENOS AIRES,BUENOS AIRES,03,491
BRESIL,ARGENTINE,BUENOS AIRES,MENDOZA,01,107
BRESIL,BRESIL,BRASILIA,BRASILIA,01,67
BRESIL,BRESIL,BRASILIA,CURITIBA,01,50
BRESIL,BRESIL,BRASILIA,RECIFE,01,113
BRESIL,BRESIL,BRASILIA,RIO DE JANEIRO,01,178
BRESIL,BRESIL,BRASILIA,CASIA,01,444
BRESIL,BRESIL,BRASILIA,PORTO ALEGRE,01,318
BRESIL,BRESIL,BRASILIA,PORTO ALEGRE,02,317
BRESIL,BRESIL,BRASILIA,SAO PAULO,01,363
BRESIL,BRESIL,BRASILIA,SAO PAULO,02,362
BURKINA FASO,BURKINA FASO,BOBODIOULASSO,BOBODIOULASSO,01,208
BURKINA FASO,BURKINA FASO,BOBODIOULASSO,KOUDOUGOU,01,60
BURKINA FASO,BURKINA FASO,BOBODIOULASSO,OUAGADOUGOU,01,515
BURKINA FASO,BURKINA FASO,BOBODIOULASSO,OUAGADOUGOU,02,511
BURKINA FASO,BURKINA FASO,BOBODIOULASSO,OUAGADOUGOU,03,282
CAMEROUN,CAMEROUN,DOUALA,DOUALA,01,421
CAMEROUN,CAMEROUN,DOUALA,DOUALA,02,422
CAMEROUN,CAMEROUN,DOUALA,YAOUNDE,01,463
CAMEROUN,CAMEROUN,DOUALA,YAOUNDE,02,463
CAMEROUN,CAMEROUN,DOUALA,YAOUNDE,03,464
CAMEROUN,CAMEROUN,DOUALA,YAOUNDE,04,464
CAMEROUN,TCHAD,NDJAMENA,NDJAMENA,01,268
CANADA,CANADA,EDMONTON,EDMONTON,01,230
CANADA,CANADA,EDMONTON,MONTREAL,01,568
CANADA,CANADA,EDMONTON,MONTREAL,02,559
CANADA,CANADA,EDMONTON,MONTREAL,03,568
CANADA,CANADA,EDMONTON,MONTREAL,04,559
CANADA,CANADA,EDMONTON,MONTREAL,05,433
CANADA,CANADA,EDMONTON,MONTREAL,06,432
CANADA,CANADA,EDMONTON,OTTAWA,01,440
CANADA,CANADA,EDMONTON,OTTAWA,02,192
CANADA,CANADA,EDMONTON,QUEBEC,01,510
CANADA,CANADA,EDMONTON,QUEBEC,02,306
CANADA,CANADA,EDMONTON,TORONTO,01,147
CANADA,CANADA,EDMONTON,WINNIPEG,01,180
CAP VERT,CAP VERT,BAO VISTA,BAO VISTA,01,350
CAP VERT,CAP VERT,BAO VISTA,PRAIA,01,556
CAP VERT,CAP VERT,BAO VISTA,PRAIA,02,557
CAP VERT,CAP VERT,BAO VISTA,SAL,01,520
CAP VERT,CAP VERT,BAO VISTA,SAO VICENTE,01,148
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,01,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,02,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,03,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,04,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,05,509
CONGO,REPUBLIQUE DU CONGO,BRAZZAVILLE,BRAZZAVILLE,06,509
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,01,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,02,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,03,449
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,04,449
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,05,449
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,06,452
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,07,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,08,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,09,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,10,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,11,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,12,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,13,450
CONGO,REPUBLIQUE DU CONGO,POINTE NOIRE,POINTE NOIRE,14,450
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABENGOUROU,01,212
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADZOPE,01,46
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOBO GARE,01,491
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOBO GARE,02,472
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOBO GARE,03,229
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ABOISSO,01,99
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,01,513
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,02,500
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,03,493
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,04,522
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 1,05,431
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 2,01,345
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 3,01,284
COTE D'IVOIRE,COTE D'IVOIRE,ABENGOUROU,ADJAME 3,02,287
