Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,LINGUERE,OUARKHOKH,BALEL CISSE,01,383,CLASSE CM1
LOUGA,LINGUERE,OUARKHOKH,DAROU SALAM LOUMBY,01,295,CLASSE CI
LOUGA,LINGUERE,OUARKHOKH,DIAKHAYE PEULH,01,329,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,DICK LESS,01,118,SALLE ECOLE ELEMENTAIRE
LOUGA,LINGUERE,OUARKHOKH,ECOLE DOUNDODJI,01,390,CLASSE CM1
LOUGA,LINGUERE,OUARKHOKH,ECOLE DOUNDODJI,02,389,CLASSE CM2
LOUGA,LINGUERE,OUARKHOKH,ECOLE THIEBE,01,377,CLASSE C2
LOUGA,LINGUERE,OUARKHOKH,GOREE THIONGUE 1,01,312,CLASSE CI
LOUGA,LINGUERE,OUARKHOKH,GOREE WALY 1,01,342,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,GUENENE,01,243,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,KILIM,01,80,ECOLE FRANCO-ABARE
LOUGA,LINGUERE,OUARKHOKH,LOUMBY FORAGE 1,01,192,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,MBADIENE,01,146,CLASSE CM2
LOUGA,LINGUERE,OUARKHOKH,MEDINA DIALY,01,259,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,NDADANE,01,170,CLASSE CI
LOUGA,LINGUERE,OUARKHOKH,NDAR NDECK 2,01,159,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,NGARAFFE,01,400,CLASSE CI
LOUGA,LINGUERE,OUARKHOKH,NGUITH,01,546,CLASSE C2
LOUGA,LINGUERE,OUARKHOKH,NGUITH,02,546,CLASSE CM1
LOUGA,LINGUERE,OUARKHOKH,NIOUKOUL KAW,01,236,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,OUARKHOKH,01,557,CLASSE CM1
LOUGA,LINGUERE,OUARKHOKH,OUARKHOKH,02,562,CLASSECM2
LOUGA,LINGUERE,OUARKHOKH,OUARKHOKH,03,154,ECOLE SALLE DE CLASSE
LOUGA,LINGUERE,OUARKHOKH,PITEL,01,275,ABRI PROVISOIRE
LOUGA,LINGUERE,OUARKHOKH,SOMME DANDE,01,171,ABRI PROVISOIRE
