
RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,SINFRA,01,69
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,VAVOUA,01,68
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,DUEKOUE,01,157
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,DIVO,01,554
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,GAGNOA,01,550
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,LAKOTA,01,99
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,SOUBRE,01,106
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,KORHOGO,01,277
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,SAN PEDRO,01,322
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,SASSANDRA,01,43
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,DANANE,01,71
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,MAN,01,236
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,SEGUELA,01,111
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,TOUBA,01,143
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,DIMBOKRO,01,67
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,TOUMODI,01,160
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,YAMOUSSOUKRO,01,545
COTE D'IVOIRE,COTE D'IVOIRE,DALOA,YAMOUSSOUKRO,02,544
